Ejercicios,Nivel,Equipo,Instrucciones,Consejo Pro,Repeticiones/Tiempo,imagenPortadaEjercicio,Musculos,Ejercicio ID,Link Webhook,Reps_Unicas,Carga unica
Sentadilla Frontal con Barra,Semilla Gym,Rack + Barra,"Coloca la barra sobre los deltoides frontales con los codos altos. Baja
  en sentadilla profunda manteniendo el torso lo mas vertical posible. Sube
  empujando con fuerza.","Los codos siempre altos para que la barra no ruede. Trabaja mÃ¡s los
  cuadriceps que la sentadilla trasera.",4 series de 8-10 reps,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/pD9aYZ0qlPgsgZLY6OxS.png,"Cuadriceps, Core, Gluteos",EJ089,https://www.vetayvigor.com/tracker.html?email=EMAIL&ejercicio=Sentadilla Frontal con Barra&prevReps=&prevKgs=,,
Step-Up con Mancuernas,Semilla Gym,Banco o cajon + Mancuernas,"Con una mancuerna en cada mano sube a un banco firme con una pierna.
  Empuja solo con la pierna de arriba para subir todo el cuerpo. Baja con
  control.",No te impulses con la pierna de abajo. Manten el torso erguido.,3 series de 10 reps por pierna,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/xrp7BZZBWbE0f8Bp5b9K.jpeg,"Cuadriceps, Gluteos",EJ090,https://www.vetayvigor.com/tracker.html?email=EMAIL&ejercicio=Step-Up con Mancuernas&prevReps=&prevKgs=,,
Curl Femoral Sentado en Maquina,Semilla Gym,Maquina curl femoral sentado,"Sientate en la maquina con las piernas extendidas sobre el cojin.
  Flexiona las rodillas llevando los talones hacia abajo y atras. Regresa con
  control.","Ajusta el respaldo para que las rodillas queden alineadas con el eje de
  la maquina.",3 series de 12-15 reps,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/UAMHY5Jy9C04jfyHiDbM.jpeg,Isquiotibiales,EJ091,https://www.vetayvigor.com/tracker.html?email=EMAIL&ejercicio=Curl Femoral Sentado en Maquina&prevReps=&prevKgs=,,
Aducción en Maquina,Semilla Gym,Maquina de aductores,"Sientate en la mÃ¡quina con las piernas abiertas sobre los cojines. Junta
  las piernas apretando los aductores. Regresa con control.",Aprieta 1 segundo al juntar las piernas. Usa peso moderado y control.,3 series de 12-15 reps,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/d9Wi8O0Eqm11tfdcycMC.jpeg,Aductores,EJ092,https://www.vetayvigor.com/tracker.html?email=EMAIL&ejercicio=Aducción en Maquina&prevReps=&prevKgs=,,
Abducción en Maquina,Semilla Gym,Maquina de abductores,"Sientate en la maquina con las piernas juntas sobre los cojines. Abre las
  piernas empujando hacia afuera. Regresa con control.",Aprieta los gluteos al abrir. Excelente para gluteo medio.,3 series de 12-15 reps,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/QDF7hnCSa7ffRXH4GWLP.jpeg,"Gluteo medio, Abductores",EJ093,https://www.vetayvigor.com/tracker.html?email=EMAIL&ejercicio=Abducción en Maquina&prevReps=&prevKgs=,,
Press de Banca Inclinado con Barra,Semilla Gym,Banco inclinado + Barra,Acuéstate en banco inclinado a 30-45Â. Agarra la barra a la anchura de los hombros. Baja al pecho superior y empuja hasta extender los brazos.,"Retrae las escapulas. El angulo de 30° es ideal para pecho superior sin
  cargar demasiado el hombro.",4 series de 6-8 reps,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/xIX8OmOMgOjMmOhaLSVR.jpeg,"Pecho superior, Triceps, Deltoides frontal",EJ094,https://www.vetayvigor.com/tracker.html?email=EMAIL&ejercicio=Press de Banca Inclinado con Barra&prevReps=&prevKgs=,,
Remo con Barra,Pino Gym,Barra,"De pie con las rodillas ligeramente flexionadas e inclinado a 45°. Agarra la barra con agarre prono. Tira hacia el abdomen bajo apretando la espalda.
Baja con control.",Manten la espalda recta y el core apretado. No uses impulso con las piernas.,4 series de 6-8 reps,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/M2hjMJopeXeuPTbh2io6.jpeg,"Dorsales, Romboides, Trapecio, Biceps",EJ095,https://www.vetayvigor.com/tracker.html?email=EMAIL&ejercicio=Remo con Barra&prevReps=&prevKgs=,,
Press Militar con Barra,Pino Gym,Rack + Barra,De pie con la barra a la altura de los hombros. Agarre a la anchura de los hombros. Empuja la barra sobre la cabeza extendiendo completamente. Baja con control al menton.,Aprieta gluteos y abdomen para estabilizar. No arquees la espalda baja.,4 series de 6-8 reps,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/sRcZGzTMmnDjv55emkBc.jpeg,"Deltoides, Triceps, Trapecio, Core",EJ096,https://www.vetayvigor.com/tracker.html?email=EMAIL&ejercicio=Press Militar con Barra&prevReps=&prevKgs=,,
Curl con Barra Recta,Pino Gym,Barra recta,"De pie sujeta la barra recta con agarre supino a la anchura de los
  hombros. Flexiona los codos subiendo la barra hacia los hombros. Baja con
  control.","Manten los codos fijos y el torso recto. No balancees. Usa peso que
  permita forma estricta.",4 series de 8-10 reps,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/8ZIi2SZm6ADT9MLj4I50.jpeg,"Biceps, Antebrazo",EJ097,https://www.vetayvigor.com/tracker.html?email=EMAIL&ejercicio=Curl con Barra Recta&prevReps=&prevKgs=,,
Extensión de Triceps con Barra Z,Pino Gym,Banco plano + Barra Z,"Acuestate en el banco con la barra Z sobre la cabeza y brazos extendidos.
  Baja la barra hacia la frente flexionando los codos. Extiende para subir.","Manten los codos apuntando al techo. La barra Z reduce tensión en muñecas
  vs barra recta.",4 series de 8-10 reps,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/jJ1kDGaYALNHEm3k8t20.jpeg,Triceps,EJ098,https://www.vetayvigor.com/tracker.html?email=EMAIL&ejercicio=Extensión de Triceps con Barra Z&prevReps=&prevKgs=,,
Press Declinado con Mancuernas,Pino Gym,Banco declinado + Mancuernas,"Acuestate en banco declinado con los pies asegurados. Sube las mancuernas
  sobre el pecho y baja con los codos a 90°. Empuja hacia arriba.","El angulo declinado enfatiza el pecho inferior. No uses peso excesivo por
  la posición invertida.",4 series de 8-10 reps,video,"Pecho inferior, Triceps",EJ099,https://www.vetayvigor.com/tracker.html?email=EMAIL&ejercicio=Press Declinado con Mancuernas&prevReps=&prevKgs=,,
Dominadas con Peso,Pino Gym,Barra de dominadas + Cinturon con disco,"Cuelga de la barra con disco atado al cinturan. Tira del cuerpo hacia
  arriba hasta que la barbilla pase la barra. Baja con control.","Inicia el movimiento retrayendo las escapulas. Si no puedes con peso
  empieza con tu peso corporal.",4 series de 5-8 reps,video,"Dorsales, Biceps, Romboides, Core",EJ100,https://www.vetayvigor.com/tracker.html?email=EMAIL&ejercicio=Dominadas con Peso&prevReps=&prevKgs=,,
Elevaciones Laterales Inclinado,Pino Gym,Banco inclinado 45° + Mancuernas,"Acuestate de lado en un banco inclinado. Con la mancuerna en la mano
  libre sube el brazo lateralmente hasta la altura del hombro. Baja con
  control.","La inclinación elimina el impulso y aisla mejor el deltoides lateral. Usa
  peso ligero.",4 series de 10-12 reps,video,Deltoides lateral,EJ101,https://www.vetayvigor.com/tracker.html?email=EMAIL&ejercicio=Elevaciones Laterales Inclinado&prevReps=&prevKgs=,,
Curl Concentrado con Mancuerna,Pino Gym,Banco + Mancuerna,"Sientate en el banco con las piernas abiertas. Apoya el codo contra la
  parte interna del muslo. Flexiona el codo subiendo la mancuerna y baja lento.","El apoyo en el muslo aisla completamente el biceps. Aprieta arriba 1
  segundo.",4 series de 10-12 reps por brazo,video,Biceps,EJ102,https://www.vetayvigor.com/tracker.html?email=EMAIL&ejercicio=Curl Concentrado con Mancuerna&prevReps=&prevKgs=,,
Fondos con Peso en Paralelas,Pino Gym,Paralelas + Cinturon con disco,"Sujeta las paralelas con disco atado al cinturon. Baja doblando los codos
  hasta que los hombros queden por debajo de los codos. Empuja para subir.","Inclina el torso al frente para mas pecho. Vertical para mas tricceps.
  Controla la bajada.",4 series de 6-8 reps,video,"Pecho, Triceps, Deltoides frontal",EJ103,https://www.vetayvigor.com/tracker.html?email=EMAIL&ejercicio=Fondos con Peso en Paralelas&prevReps=&prevKgs=,,
Aperturas con Mancuernas,Pino Gym,Banco plano + Mancuernas,"Acuestate en el banco con mancuernas sobre el pecho y brazos extendidos.
  Abre los brazos bajando las mancuernas con los codos ligeramente flexionados.
  Junta arriba.","No bajes demasiado para proteger los hombros. Siente el estiramiento en
  el pecho al abrir.",4 series de 10-12 reps,video,"Pectorales, Deltoides frontal",EJ104,https://www.vetayvigor.com/tracker.html?email=EMAIL&ejercicio=Aperturas con Mancuernas&prevReps=&prevKgs=,,
Remo Pendlay con Barra,Pino Gym,Barra,"Inclinate con el torso paralelo al suelo. La barra en el piso. Tira
  explosivamente hacia el abdomen y baja con control hasta el suelo en cada
  rep.","Cada repetición empieza desde el suelo. Mas explosivo que el remo normal.
  Espalda siempre recta.",4 series de 6-8 reps,video,"Dorsales, Trapecio, Romboides, Biceps",EJ105,https://www.vetayvigor.com/tracker.html?email=EMAIL&ejercicio=Remo Pendlay con Barra&prevReps=&prevKgs=,,
Face Pull en Polea,Pino Gym,Polea alta + Cuerda,"De pie frente a la polea alta con la cuerda a la altura de la cara. Tira
  hacia la cara abriendo los codos hacia afuera. Aprieta los omoplatos atras.","Excelente para salud del hombro y postura. Rota los puÃ±os hacia afuera
  al final del movimiento.",4 series de 12-15 reps,video,"Deltoides posterior, Trapecio, Romboides",EJ106,https://www.vetayvigor.com/tracker.html?email=EMAIL&ejercicio=Face Pull en Polea&prevReps=&prevKgs=,,
Curl Araña con Barra Z,Pino Gym,Banco inclinado + Barra Z,"Apoya el pecho en un banco inclinado con los brazos colgando. Sujeta la
  barra Z y flexiona los codos subiendo la barra. Baja con control.","La posición elimina el impulso por completo. Maxima activación del
  biceps.",4 series de 8-10 reps,video,Biceps,EJ107,https://www.vetayvigor.com/tracker.html?email=EMAIL&ejercicio=Curl Araña con Barra Z&prevReps=&prevKgs=,,
Press de Triceps en Polea con Cuerda,Pino Gym,Polea alta + Cuerda,"De pie frente a la polea. Sujeta la cuerda y empuja hacia abajo separando
  los extremos al final del movimiento. Regresa con control.","Separa la cuerda al final para activar la cabeza lateral del triceps.
  Codos fijos al cuerpo.",4 series de 10-12 reps,video,Triceps,EJ108,https://www.vetayvigor.com/tracker.html?email=EMAIL&ejercicio=Press de Triceps en Polea con Cuerda&prevReps=&prevKgs=,,
Sentadilla Profunda con Barra,Pino Gym,Rack + Barra,"Coloca la barra en los trapecios. Baja mas alla del paralelo con control
  manteniendo la espalda recta. Sube empujando con fuerza desde los talones.","Requiere buena movilidad de tobillo y cadera. Usa zapatos con tacon o
  disco bajo los talones si es necesario.",4 series de 6-8 reps,video,"Cuadriceps, Gluteos, Isquiotibiales",EJ109,https://www.vetayvigor.com/tracker.html?email=EMAIL&ejercicio=Sentadilla Profunda con Barra&prevReps=8-8-8-6&prevKgs=60-80-100-105,8-8-8-6,60-80-100-105
Peso Muerto Convencional,Pino Gym,Barra + Discos,"De pie frente a la barra en el suelo. Agarra la barra y levantala
  extendiendo caderas y rodillas simultaneamente hasta estar de pie. Baja con
  control.","La barra siempre pegada al cuerpo. Espalda recta. Empuja el suelo con los
  pies.",4 series de 5-6 reps,video,"Isquiotibiales, Gluteos, Espalda baja, Cuadriceps",EJ110,https://www.vetayvigor.com/tracker.html?email=EMAIL&ejercicio=Peso Muerto Convencional&prevReps=8-8-8-6&prevKgs=60-70-70-80,8-8-8-6,60-70-70-80
Prensa de Piernas (pies altos),Pino Gym,Maquina prensa de piernas,"Sientate en la prensa con los pies en la parte alta de la plataforma.
  Baja la plataforma flexionando las rodillas y empuja para subir.","Pies altos enfatiza gluteos e isquiotibiales. No levantes la espalda baja
  del respaldo.",4 series de 8-10 reps,video,"Gluteos, Isquiotibiales, Cuadriceps",EJ111,https://www.vetayvigor.com/tracker.html?email=EMAIL&ejercicio=Prensa de Piernas (pies altos)&prevReps=10-10-10-10&prevKgs=80-120-160-200,10-10-10-10,80-120-160-200
Curl Femoral Acostado en Maquina,Pino Gym,Maquina curl femoral acostado,"Acuestate boca abajo con los tobillos bajo el cojin. Flexiona las
  rodillas con fuerza llevando los talones hacia los gluteos. Baja lento (3
  segundos).","Manten la cadera pegada al banco. La fase excentrica lenta (bajada) es
  clave para hipertrofia.",4 series de 8-10 reps,video,Isquiotibiales,EJ112,https://www.vetayvigor.com/tracker.html?email=EMAIL&ejercicio=Curl Femoral Acostado en Maquina&prevReps=12-12-10-10&prevKgs=23-27-32-32,12-12-10-10,23-27-32-32
Elevación de Talones Sentado con Disco,Pino Gym,Banco + Disco sobre rodillas,"Sientate en un banco con un disco sobre las rodillas. Sube los talones
  apretando los soleos. Baja completamente estirando. Pausa arriba 2 segundos.",El soleo se activa mas con rodilla flexionada. ,4 series de 15-20 reps,video,"Soleo, Pantorrillas",EJ113,https://www.vetayvigor.com/tracker.html?email=EMAIL&ejercicio=Elevación de Talones Sentado con Disco&prevReps=15-15-15-15&prevKgs=20-20-20-20,15-15-15-15,20-20-20-20
Sentadilla Bulgara con Mancuernas,Pino Gym,Banco + Mancuernas,"Coloca el empeine trasero en un banco. Con una mancuerna en cada mano
  baja flexionando la rodilla delantera. Sube con fuerza.","Las mancuernas permiten rango natural. Manten el torso ligeramente
  inclinado para trabajo de guteo.",4 series de 8-10 reps por pierna,video,"Cuadriceps, Gluteos, Isquiotibiales",EJ114,https://www.vetayvigor.com/tracker.html?email=EMAIL&ejercicio=Sentadilla Bulgara con Mancuernas&prevReps=&prevKgs=,,
Hip Thrust con Barra (pies elevados),Pino Gym,Banco + Barra + Pad + Step,"Espalda alta en banco y pies sobre un step/cajon. Barra con pad sobre la
  cadera. Empuja la cadera arriba apretando gluteos. Baja sin tocar el suelo.","La elevación de pies aumenta el rango y la activación del gluteo. Aprieta
  arriba 2 segundos.",4 series de 8-10 reps,video,"Gluteos, Isquiotibiales",EJ115,https://www.vetayvigor.com/tracker.html?email=EMAIL&ejercicio=Hip Thrust con Barra (pies elevados)&prevReps=&prevKgs=,,
Zancada Caminando con Barra,Pino Gym,Barra,"Coloca la barra en los trapecios. Da pasos largos alternados hacia
  adelante bajando la rodilla trasera casi al suelo. Avanza sin detenerte.",Manten el core apretado para estabilidad. Pasos largos para mas gluteo,4 series de 10 pasos por pierna,video,"Cuadriceps, Gluteos, Isquiotibiales, Core",EJ116,https://www.vetayvigor.com/tracker.html?email=EMAIL&ejercicio=Zancada Caminando con Barra&prevReps=&prevKgs=,,
Extensión de Cuadriceps Unilateral,Pino Gym,Maquina extensión de cuadriceps,"Sientate en la maquina y extiende una pierna a la vez. Sube hasta
  extensión completa y baja lento (3 segundos).","El trabajo unilateral corrige desbalances entre piernas. Aprieta el
  cuadriceps arriba.",4 series de 10-12 reps por pierna,video,Cuadriceps,EJ117,https://www.vetayvigor.com/tracker.html?email=EMAIL&ejercicio=Extensión de Cuadriceps Unilateral&prevReps=&prevKgs=,,
Peso Muerto Sumo con Barra,Pino Gym,Barra + Discos,"De pie con los pies muy abiertos y las puntas hacia afuera. Agarra la
  barra con agarre estrecho entre las piernas. Levanta extendiendo caderas y
  rodillas.","Pecho arriba y espalda recta. El agarre sumo enfatiza mÃ¡s los aductores
  y cuadriceps.",4 series de 6-8 reps,video,"Cuadriceps, Aductores, Gluteos, Isquiotibiales",EJ118,https://www.vetayvigor.com/tracker.html?email=EMAIL&ejercicio=Peso Muerto Sumo con Barra&prevReps=&prevKgs=,,
Sentadilla Hack en Maquina,Pino Gym,Maquina hack squat,"Colocate en la maquina con la espalda contra el respaldo y los hombros
  bajo los cojines. Baja flexionando las rodillas y sube empujando con fuerza.","La maquina guia el movimiento y protege la espalda baja. Excelente para
  aislar cuadriceps.",4 series de 8-10 reps,video,"Cuadriceps, Gluteos",EJ119,https://www.vetayvigor.com/tracker.html?email=EMAIL&ejercicio=Sentadilla Hack en Maquina&prevReps=&prevKgs=,,
Peso Muerto Rumano con Mancuernas,Pino Gym,Mancuernas,"De pie con una mancuerna en cada mano frente a los muslos. Inclina el
  torso con rodillas ligeramente flexionadas. Baja las mancuernas por las
  piernas. Sube apretando gluteos.","Las mancuernas permiten un rango de movimiento mas natural que la barra.
  Espalda siempre recta.",4 series de 8-10 reps,video,"Isquiotibiales, Gluteos",EJ120,https://www.vetayvigor.com/tracker.html?email=EMAIL&ejercicio=Peso Muerto Rumano con Mancuernas&prevReps=&prevKgs=,,
Peso Muerto con Barra,Pino Gym,Barra,De pie frente a la barra en el suelo con los pies a la anchura de la cadera. Agarra la barra con agarre prono o mixto justo por fuera de las rodillas. Empuja el suelo con los pies extendiendo caderas y rodillas simultáneamente hasta estar completamente de pie. Baja con control invirtiendo el movimiento.,La barra siempre pegada al cuerpo durante todo el recorrido. Espalda recta y pecho arriba. Activa los dorsales antes de levantar como si quisieras doblar la barra hacia ti.,4 series de 5-6 reps,video,"Isquiotibiales, Glúteos, Espalda baja, Cuádriceps, Trapecio",EJ121,https://www.vetayvigor.com/tracker.html?email=EMAIL&ejercicio=Peso Muerto con Barra&prevReps=&prevKgs=,,
Curl Femoral Nordico Asistido,Pino Gym,Maquina GHR o compañero que sujete los pies,"Arrodillate con los pies asegurados. Baja el torso lentamente hacia el
  suelo (5 segundos) resistiendo la cai­da con los isquiotibiales. Usa las
  manos para empujarte al subir si es necesario.","Enfocate en la bajada lenta. Es el ejercicio mas efectivo para
  isquiotibiales. Progresa hasta hacerlo sin manos.",4 series de 4-6 reps,video,"Isquiotibiales, Gluteos",EJ122,https://www.vetayvigor.com/tracker.html?email=EMAIL&ejercicio=Curl Femoral Nordico Asistido&prevReps=&prevKgs=,,
Elevación de Talones de Pie en Maquina,Pino Gym,Maquina de elevación de talones,"De pie en la maquina con los hombros bajo los cojines y las puntas de los
  pies en la plataforma. Sube los talones apretando las pantorrillas. Baja
  estirando completamente.","Pausa de 2 segundos arriba y estiramiento completo abajo. Rango completo
  es clave para pantorrillas.",4 series de 12-15 reps,video,Pantorrillas (Gemelos y Soleo),EJ123,https://www.vetayvigor.com/tracker.html?email=EMAIL&ejercicio=Elevación de Talones de Pie en Maquina&prevReps=&prevKgs=,,
Fondos Asistidos en Paralelas,Semilla Hibrido,Barras Paralelas bajas,Sujeta las barras con los brazos extendidos y los pies apoyados en el suelo con las rodillas flexionadas. Baja el cuerpo doblando los codos hasta que los brazos formen 90 grados. Empuja con fuerza para subir.,Usa los pies solo como apoyo parcial. Conforme ganes fuerza apoya cada vez menos los pies hasta poder hacerlos sin asistencia.,3 series de 8-10 reps,video,"Triceps, Pecho inferior, Deltoides frontal",EJ124,https://www.vetayvigor.com/tracker.html?email=EMAIL&ejercicio=Fondos Asistidos en Paralelas&prevReps=&prevKgs=,,
Colgarse de la barra (dead hang),Semilla,Barra de dominadas,Cuélgate de la barra con agarre firme y deja el cuerpo extendido. Mantén los hombros activos sin encogerte por completo y respira con control.,"Piensa en alejar los hombros de las orejas. El objetivo no es solo aguantar, sino crear control escapular.",,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/Pcai0He0TgK1gfYja4xA.jpeg,"Agarre, antebrazos,
  escápulas",EJ125,https://www.vetayvigor.com/tracker.html?email=EMAIL&ejercicio=Colgarse de la barra (dead hang)&prevReps=&prevKgs=,,
Retracciones escapulares en barra,Semilla,Barra de dominadas,"Cuélgate de la barra con los codos completamente estirados. Desde ahí, baja y junta las escápulas para elevar ligeramente el cuerpo sin doblar los brazos.","Haz un movimiento corto pero limpio. Si doblas los codos, deja de ser retracción escapular.",,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/UHgLfAfSkfiI1nhTWmN6.jpeg,"Escápulas, dorsales, trapecio medio",EJ126,https://www.vetayvigor.com/tracker.html?email=EMAIL&ejercicio=Retracciones escapulares en barra&prevReps=&prevKgs=,,
Remo invertido / australiana,Semilla,Barra baja o barra de dominadas,Colócate debajo de la barra con el cuerpo recto y los talones apoyados. Tira del pecho hacia la barra apretando la espalda y baja con control.,"Cuanto más horizontal quede tu cuerpo, más difícil será. Ajusta la inclinación sin perder técnica.",,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/Z9tqydO7EPHrGsXUTLgn.jpeg,"Dorsales, bíceps, romboides",EJ127,https://www.vetayvigor.com/tracker.html?email=EMAIL&ejercicio=Remo invertido / australiana&prevReps=&prevKgs=,,
Dominadas negativas,Semilla,Barra de dominadas + cajón o salto,Empieza arriba con la barbilla por encima de la barra usando un cajón o un salto. Desde ahí baja lentamente controlando todo el recorrido hasta extender los brazos.,La bajada debe ser lenta y uniforme. No te sueltes al final ni caigas de golpe.,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/8ogyHr6kuVDQ19ijq2Ow.jpeg,"Dorsales, bíceps, antebrazos",EJ128,https://www.vetayvigor.com/tracker.html?email=EMAIL&ejercicio=Dominadas negativas&prevReps=&prevKgs=,,
Isométrico arriba,Semilla,"Barra de dominadas + cajón o
salto",Colócate arriba con la barbilla por encima de la barra y mantén esa posición el tiempo indicado. Aprieta fuerte espalda y bíceps mientras sostienes el cuerpo sin perder altura.,"Mantén el pecho alto y los codos cerca del cuerpo. Si bajas demasiado, termina el intento y descansa.",,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/uH9VKQvQBIrADlb8I3em/pub/oNxuGVrNf8TqyDD8PKHm.jpeg,"Dorsales, bíceps, escápulas",EJ129,https://www.vetayvigor.com/tracker.html?email=EMAIL&ejercicio=Isométrico arriba&prevReps=&prevKgs=,,
Pistol Squat Asistida,Tzalam,Barra para Ligas + Banda,Sujeta una liga atada a la barra a la altura del pecho. Extiende una pierna al frente y baja con la otra hasta una sentadilla profunda. Usa la asistencia mínima necesaria para volver a subir.,"Controla 3 segundos la bajada y
  evita impulsarte con la pierna libre. Conforme progreses usa una liga más
  delgada.",4 series de 5-8 reps por pierna,,"Cuádriceps, Glúteos, Core",,https://www.vetayvigor.com/tracker.html?email=EMAIL&ejercicio=Pistol Squat Asistida&prevReps=&prevKgs=,,
Sentadilla Búlgara con Pausa,Tzalam,"Silla o
  superficie elevada","Coloca el empeine trasero en una silla. Baja en zancada búlgara y mantén 2-3
segundos en la parte baja antes de subir con fuerza.","La pausa
  elimina el rebote y aumenta la tensión en glúteo y cuádriceps.",4 series de 8-10 reps por pierna,,"Cuádriceps, Glúteos, Isquiotibiales",,https://www.vetayvigor.com/tracker.html?email=EMAIL&ejercicio=Sentadilla Búlgara con Pausa&prevReps=&prevKgs=,,
Hip Thrust a Una Pierna (elevado),Tzalam,Silla o banco,Apoya la espalda alta en una silla y deja un pie en el suelo mientras la otra pierna queda extendida. Empuja la cadera hasta alinearla con el torso y baja con control.,"Mantén la cadera nivelada en
  todo momento y aprieta el glúteo 2 segundos arriba.",4 series de 8-10 reps por pierna,,"Glúteos, Isquiotibiales,
  Core",,https://www.vetayvigor.com/tracker.html?email=EMAIL&ejercicio=Hip Thrust a Una Pierna (elevado)&prevReps=&prevKgs=,,
Elevación de Talones a Una Pierna con Pausa,Tzalam,"Muro
  para equilibrio","De pie sobre una pierna y con apoyo ligero en la pared, eleva el talón al máximo, mantén 2-3 segundos arriba y baja lentamente.","Haz el
  recorrido completo y evita rebotar abajo.",4 series de 12-15 reps por pierna,,Pantorrillas (Gemelos y Sóleo),,https://www.vetayvigor.com/tracker.html?email=EMAIL&ejercicio=Elevación de Talones a Una Pierna con Pausa&prevReps=&prevKgs=,,
Skater Squat,Tzalam,N/A,"Desde de pie sobre una pierna, baja controladamente llevando la otra pierna hacia atrás sin apoyarla completamente. Sube empujando con la pierna de apoyo.","Mantén el torso ligeramente
  inclinado pero la espalda recta.",4 series de 6-8 reps por pierna,,"Cuádriceps, Glúteos, Core",,https://www.vetayvigor.com/tracker.html?email=EMAIL&ejercicio=Skater Squat&prevReps=&prevKgs=,,
Step-Up Alto Explosivo,Tzalam,"Silla
  firme o cajón alto",Coloca un pie sobre una superficie alta y sube explosivamente impulsando el cuerpo hacia arriba con la pierna de apoyo. Baja con control.,"No te
  impulses con la pierna de abajo; toda la fuerza debe venir de la pierna que
  sube.",4 series de 6-8 reps por pierna,,"Cuádriceps, Glúteos, Pantorrillas",,https://www.vetayvigor.com/tracker.html?email=EMAIL&ejercicio=Step-Up Alto Explosivo&prevReps=&prevKgs=,,
Sentadilla Cosaca Profunda,Tzalam,N/A,Abre bien las piernas y baja hacia un lado hasta máxima profundidad mientras la otra pierna queda extendida. Regresa al centro y alterna.,"Mantén el talón apoyado en la
  pierna que trabaja y el pecho al frente.",4 series de 6-8 reps por pierna,,"Aductores, Cuádriceps,
  Glúteos",,https://www.vetayvigor.com/tracker.html?email=EMAIL&ejercicio=Sentadilla Cosaca Profunda&prevReps=&prevKgs=,,
Wall Sit a Una Pierna,Tzalam,Muro,Apoya la espalda en la pared en posición de sentadilla y extiende una pierna al frente manteniendo la otra soportando la carga.,"Aprieta
  fuerte el abdomen y no dejes que la cadera se ladee.",4 series de 20-30 seg por pierna,,"Cuádriceps, Glúteos, Core",,https://www.vetayvigor.com/tracker.html?email=EMAIL&ejercicio=Wall Sit a Una Pierna&prevReps=&prevKgs=,,
Pistol Squat Negativa,Tzalam,Caja o apoyo bajo,Extiende una pierna al frente y baja en una pistol squat lo más lento posible hasta sentarte en una superficie baja o tocar controladamente.,"Haz una bajada de 4-5 segundos y
  usa las manos solo si es necesario para levantarte.",4 series de 4-6 reps por pierna,,"Cuádriceps, Glúteos, Core",,https://www.vetayvigor.com/tracker.html?email=EMAIL&ejercicio=Pistol Squat Negativa&prevReps=&prevKgs=,,
Zancada Búlgara Explosiva,Tzalam,"Silla o
  superficie elevada","Con el pie trasero elevado, baja en zancada búlgara y sube de forma explosiva.","Aterriza
  suave y mantén la rodilla alineada con el pie.",4 series de 6-8 reps por pierna,,"Cuádriceps, Glúteos, Pantorrillas",,https://www.vetayvigor.com/tracker.html?email=EMAIL&ejercicio=Zancada Búlgara Explosiva&prevReps=&prevKgs=,,
Dominadas Pronas,Tzalam,Barra de dominadas,Cuelga de la barra con agarre prono un poco más ancho que los hombros. Tira hasta pasar la barbilla y baja con control total.,"Inicia con depresión escapular
  antes de flexionar los codos.",4 series de 6-10 reps,,"Dorsales, Bíceps,
  Romboides, Core",,https://www.vetayvigor.com/tracker.html?email=EMAIL&ejercicio=Dominadas Pronas&prevReps=&prevKgs=,,
Remo Australiano Explosivo,Tzalam,"Barra
  baja","Debajo de una barra baja, mantén el cuerpo recto y tira del pecho hacia la barra con intención explosiva. Baja controlando.","Sube
  rápido pero sin perder tensión corporal.",4 series de 8-10 reps,,"Espalda (Dorsales), Bíceps, Romboides",,https://www.vetayvigor.com/tracker.html?email=EMAIL&ejercicio=Remo Australiano Explosivo&prevReps=&prevKgs=,,
L-Sit en Paralelas,Tzalam,Barras Paralelas bajas,"Entre las paralelas, eleva la cadera y extiende ambas piernas al frente formando una L. Mantén la posición con brazos completamente bloqueados.","Empuja fuerte las barras hacia
  abajo y mantén hombros lejos de las orejas.",4 series de 12-20 seg,,"Abdominales, Flexores de
  cadera, Tríceps",,https://www.vetayvigor.com/tracker.html?email=EMAIL&ejercicio=L-Sit en Paralelas&prevReps=&prevKgs=,,
